area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Section 12, Mirpur, Dhaka",2 BHK,N/A,1055,2,1,43
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",3 BHK,N/A,1555,3,2,125
Super built-up  Area,Ready To Move,"Section 12, Mirpur, Dhaka",3 BHK,N/A,1420,3,2,62
Super built-up  Area,20-Apr,"Block B, Section 12, Mirpur, Dhaka",3 BHK,N/A,2214,3,2,350
Super built-up  Area,18-Apr,"Block B, Section 12, Mirpur, Dhaka",1 BHK,N/A,658,1,1,26.91
Carpet  Area,18-Dec,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,896.9,2,1,78.74
Plot  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,4000,3,2,750
Built-up  Area,Ready To Move,"Shyamoli, Dhaka",2 BHK,N/A,1035,2,2,40
Plot  Area,Ready To Move,"Banani, Dhaka",4 Bedroom,N/A,2064,5,2,225
Super built-up  Area,Ready To Move,"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1839,3,3,160
Super built-up  Area,Ready To Move,"Middle Paikpara, Mirpur, Dhaka",2 BHK,N/A,1200,2,2,44
Built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",1 BHK,N/A,488,1,1,20
Built-up  Area,Ready To Move,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3 BHK,N/A,1200,2,1,198
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",5 Bedroom,N/A,2760,5,,140
Super built-up  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",2 BHK,N/A,993,2,2,42
Super built-up  Area,Ready To Move,"Mugdapara, Dhaka",2 BHK,N/A,1225,2,1,45
Plot  Area,Ready To Move,"Lalbagh Road, Lalbagh, Dhaka",2 Bedroom,N/A,900,2,0,55
Plot  Area,18-Feb,"Kalachandpur, Dhaka",9 Bedroom,N/A,1200,13,,150
Built-up  Area,Ready To Move,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,825,2,1,32
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",4 BHK,N/A,3596,4,2,359
Plot  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",6 Bedroom,N/A,1350,4,1,203
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",3 BHK,N/A,1800,3,3,92
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",2 BHK,N/A,925,2,1,100
Super built-up  Area,21-Mar,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,1167,2,1,63
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,1150,2,1,41
Super built-up  Area,18-Aug,"Block B, Section 12, Mirpur, Dhaka",1 BHK,N/A,650,1,1,50
Built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",1 BHK,N/A,675,1,1,27
Plot  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 Bedroom,N/A,2260,3,1,90
Super built-up  Area,18-Apr,"Mirpur, Dhaka",1 BHK,N/A,660 - 780,1,0,32.39
Plot  Area,Ready To Move,"Block A, Section 12, Mirpur, Dhaka",3 Bedroom,N/A,4800,4,2,600
Super built-up  Area,Ready To Move,"Block A, Section 12, Mirpur, Dhaka",2 BHK,N/A,1100,2,1,58
Super built-up  Area,Ready To Move,"Block A, Aftab Nagar, Dhaka",2 BHK,N/A,550,1,1,20
Super built-up  Area,Ready To Move,"East Khilbari Tek, Khilbari Tek, Badda, Dhaka",3 BHK,N/A,1330,2,1,58
Super built-up  Area,Ready To Move,"West Kafrul, Taltola, Agargaon, Dhaka",2 BHK,N/A,1320,2,1,160
Super built-up  Area,Ready To Move,"Shyamoli, Dhaka",3 BHK,N/A,1685,4,2,185
Super built-up  Area,Ready To Move,"Middle Paikpara, Mirpur, Dhaka",6 BHK,N/A,2400,5,2,75
Super built-up  Area,18-Apr,"IBN SINA Housing, Adabor, Dhaka",3 BHK,N/A,1770,3,3,108
Super built-up  Area,Ready To Move,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",3 BHK,N/A,2100,3,3,125
Super built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",2 BHK,N/A,1000,2,3,42
Plot  Area,Ready To Move,"Middle Paikpara, Mirpur, Dhaka",4 Bedroom,N/A,600,5,1,105
Plot  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",4 Bedroom,N/A,2916,5,1,230
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",3 BHK,N/A,1419.59,2,1,65
Super built-up  Area,Ready To Move,"Shyamoli, Dhaka",3 BHK,N/A,1400,3,,81
Built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 BHK,N/A,750,2,1,37.49
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1070,2,1,87
Super built-up  Area,18-Dec,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1536,3,1,107
Built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1710,3,2,210
Carpet  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,2400,3,3,196
Super built-up  Area,18-Mar,"Sector 2, Block H, Aftab Nagar, Dhaka",3 BHK,N/A,1618 - 1929,,,102.92
Super built-up  Area,18-Apr,"Block A, Metro Housing, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1342,2,1,72
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",3 BHK,N/A,1600,3,2,130
Super built-up  Area,19-Dec,"Gulbag, Malibagh, Dhaka",1 BHK,N/A,938,1,1,50
Super built-up  Area,Ready To Move,"Section 2, Mirpur, Dhaka",3 BHK,N/A,1820,3,2,99
Super built-up  Area,Ready To Move,"Block G, Section 1, Mirpur, Dhaka",4 BHK,N/A,2439,4,3,170
Super built-up  Area,Ready To Move,"Ali And Nur Real Estate, Mohammadpur, Dhaka",3 BHK,N/A,1665,3,2,78
Super built-up  Area,Ready To Move,"Shantinagar, Dhaka",3 BHK,N/A,1850,3,2,150
Built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",2 BHK,N/A,1091,2,1,40
Super built-up  Area,18-Apr,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,1346,2,1,74.03
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",3 BHK,N/A,1720,3,2,224
Built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,3675,4,3,176
Super built-up  Area,18-Jun,"3rd Colony, Mirpur, Dhaka",2 BHK,N/A,1060,2,2,33.95
Built-up  Area,18-Dec,"Avenue 4, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1059,2,1,57
Super built-up  Area,Ready To Move,"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1299,2,1,97
Super built-up  Area,Ready To Move,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1491,3,2,85
Built-up  Area,Ready To Move,"Avenue 11, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1200,2,2,85
Built-up  Area,Ready To Move,"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",4 Bedroom,N/A,2088,5,0,110
Super built-up  Area,Ready To Move,"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",1 BHK,N/A,581,1,1,29
Super built-up  Area,Ready To Move,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1296,2,2,70
Super built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",2 BHK,N/A,1125,2,1,55
Built-up  Area,Ready To Move,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1275,3,1,70
Super built-up  Area,Ready To Move,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1095,2,2,55
Plot  Area,Ready To Move,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",5 Bedroom,N/A,10000,4,2,975
Super built-up  Area,Ready To Move,"South Monipur, Mirpur, Dhaka",2 BHK,N/A,1330,2,2,74
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1135,2,2,60
Super built-up  Area,Ready To Move,"Hazaribag, Dhaka",1 BHK,N/A,516,1,1,39
Super built-up  Area,Ready To Move,"Malibagh, Dhaka",2 BHK,N/A,1194,2,1,51
Plot  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",5 Bedroom,N/A,2250,5,,240
Super built-up  Area,Ready To Move,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",2 BHK,N/A,770,1,1,38
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",4 BHK,N/A,3930,5,2,330
Super built-up  Area,18-May,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1355,3,2,54.2
Built-up  Area,Ready To Move,"Gulbag, Malibagh, Dhaka",8 Bedroom,N/A,3000,8,0,150
Built-up  Area,Ready To Move,"Priyanka City, Sector 12, Uttara, Dhaka",4 BHK,N/A,2569,4,1,175
Built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,3758,4,2,450
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,1116,2,3,51.91
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1707,3,2,115
Plot  Area,18-Apr,"West Rampura, Rampura, Dhaka",5 Bedroom,N/A,1200,5,1,225
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,1070,2,2,49
Built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",4 Bedroom,N/A,6000,4,,410
Super built-up  Area,18-Apr,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",3 BHK,N/A,1240,2,1,83
Super built-up  Area,19-Dec,"East Rampura, Rampura, Dhaka",2 BHK,N/A,1300,2,1,91.65
Super built-up  Area,Ready To Move,"Shyamoli, Dhaka",2 BHK,N/A,1700,2,2,76
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1383,2,2,76.18
Built-up  Area,Ready To Move,"Block D, Section 6, Mirpur, Dhaka",5 Bedroom,N/A,3000,4,3,170
Built-up  Area,18-Dec,"Sector 12, Uttara, Dhaka",2 BHK,N/A,1200,2,1,34.65
Super built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",2 BHK,N/A,935,2,3,45
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",3 BHK,N/A,2072,4,2,151
Built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",4 Bedroom,N/A,2200,3,1,225
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",1 BHK,N/A,615,1,1,46
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,1116,2,1,45
Super built-up  Area,18-Dec,"Sector 13, Uttara, Dhaka",3 BHK,N/A,1639,3,2,107
Super built-up  Area,Ready To Move,"South Chalabon, Dakshin Khan, Dhaka",3 BHK,N/A,1839,3,2,130
Super built-up  Area,Ready To Move,"Tajmahal Road, Mohammadpur, Dhaka",2 BHK,N/A,1300,2,2,63
Super built-up  Area,Ready To Move,"Tajmahal Road, Mohammadpur, Dhaka",1 BHK,N/A,625,1,1,27
Super built-up  Area,18-May,"South Chalabon, Dakshin Khan, Dhaka",1 BHK,N/A,933,1,1,61
Super built-up  Area,Ready To Move,"South Chalabon, Dakshin Khan, Dhaka",3 BHK,N/A,2289,3,3,180
Built-up  Area,Ready To Move,"RK Mission Road, Gopibag, Motijheel, Dhaka",3 Bedroom,N/A,2316,3,0,125
Super built-up  Area,18-May,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1005,2,1,39.77
Built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1080,2,1,38
Plot  Area,Ready To Move,"Dakshin Khan, Dhaka",7 Bedroom,N/A,1200,5,3,185
Super built-up  Area,Ready To Move,"Block G/1, Section 2, Mirpur, Dhaka",2 BHK,N/A,910,2,3,36
Plot  Area,Ready To Move,"Chairman Para, Dakshin Khan, Dhaka",2 Bedroom,N/A,1200,2,0,73
Super built-up  Area,Ready To Move,"Block C, Banasree, Dhaka",2 BHK,N/A,1110,2,1,39.9
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1142,2,2,56
Carpet  Area,Ready To Move,"Kalachandpur, Dhaka",5 Bedroom,N/A,4000,4,3,240
Plot  Area,18-Mar,"Block C, Section 13, Mirpur, Dhaka",3 Bedroom,N/A,1800,3,1,204
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1005,2,1,55
Built-up  Area,18-Apr,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1626.6,3,1,133
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1074,2,2,54
Carpet  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1230,2,0,80
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,660,1,1,23
Built-up  Area,Ready To Move,"Section 1, Mirpur, Dhaka",2 BHK,N/A,1007,2,2,48
Plot  Area,Ready To Move,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",4 Bedroom,N/A,1050,6,1,74
Built-up  Area,20-Dec,"New Eskaton, Eskaton, Dhaka",3 BHK,N/A,1820,3,2,113
Super built-up  Area,Ready To Move,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",2 BHK,N/A,1100,2,1,60
Plot  Area,Ready To Move,"Vashantek, Cantonment, Dhaka",2 Bedroom,N/A,1348,2,0,100
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,1230,2,2,66.25
Super built-up  Area,18-May,"Block B, Section 12, Mirpur, Dhaka",3 BHK,N/A,1176,2,1,37.62
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",3 BHK,N/A,1590,3,2,57
Built-up  Area,Ready To Move,"Khilgaon, Dhaka",2 BHK,N/A,1200,2,1,78
Built-up  Area,18-Jun,"Block H, Banasree, Dhaka",2 BHK,N/A,1298,2,1,65
Super built-up  Area,18-Jul,"Mohammadia Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,1161,2,1,55.15
Plot  Area,Ready To Move,"South Pirerbag, Pirerbag, Mirpur, Dhaka",4 Bedroom,N/A,1350,4,0,175
Plot  Area,Ready To Move,"Badda, Dhaka",5 Bedroom,N/A,1200,5,2,138
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,1285,2,1,60
Super built-up  Area,17-Jun,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",3 BHK,N/A,1644,3,2,92.59
Super built-up  Area,Ready To Move,"Shantinagar, Dhaka",3 BHK,N/A,1819,3,1,150
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 BHK,N/A,1205,2,1,85
Super built-up  Area,Ready To Move,"Baridhara DOHS, Dhaka",3 BHK,N/A,2350,3,3,300
Super built-up  Area,Ready To Move,"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",2 BHK,N/A,1050,2,1,42
Super built-up  Area,Ready To Move,"Road No 12, Block B, Section 11, Mirpur, Dhaka",2 BHK,N/A,1270,2,2,62
Super built-up  Area,18-Jun,"Nayatola, Boro Maghbazar, Maghbazar, Dhaka",3 BHK,N/A,1240,2,2,39.89
Super built-up  Area,Ready To Move,"Mohammadia Housing Society, Mohammadpur, Dhaka",3 BHK,N/A,1221,3,3,70
Built-up  Area,Ready To Move,"Tajmahal Road, Mohammadpur, Dhaka",3 BHK,N/A,840,2,2,35
Super built-up  Area,Ready To Move,"Hazaribag, Dhaka",2 BHK,N/A,1339,2,2,63
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",4 BHK,N/A,4303,5,,300
Super built-up  Area,Ready To Move,"Bochila Garden City, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1315,2,1,85
Super built-up  Area,Ready To Move,"Mohammadia Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,1250,2,2,68
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 BHK,N/A,850,2,1,27
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",3 BHK,N/A,1600,2,2,110
Built-up  Area,Ready To Move,"North Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1250,2,1,62
Super built-up  Area,Ready To Move,"Nadda, Dhaka",3 BHK,N/A,1312,2,1,56.5
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",4 BHK,N/A,3000,4,0,134
Built-up  Area,Ready To Move,"Shahidbag, Malibagh, Dhaka",2 BHK,N/A,1300,2,2,28
Built-up  Area,Ready To Move,"Mirpur, Dhaka",3 BHK,N/A,1990,3,3,98
Super built-up  Area,Ready To Move,"Shantinagar, Dhaka",2 BHK,N/A,760,2,2,38.5
Plot  Area,Ready To Move,"New Eskaton, Eskaton, Dhaka",4 Bedroom,N/A,5000,4,2,536
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",3 BHK,N/A,1614,2,2,59
Plot  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,1500,3,2,162
Super built-up  Area,Ready To Move,"Kakrail, Dhaka",3 BHK,N/A,1182,2,1,60.1
Super built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",2 BHK,N/A,1053,2,1,46.29
Built-up  Area,Ready To Move,"Pallabi, Mirpur, Dhaka",1 BHK,N/A,750,1,1,105
Super built-up  Area,Ready To Move,"Block E, Banasree, Dhaka",3 BHK,N/A,2000,3,3,125
Built-up  Area,18-May,"Mirpur, Dhaka",3 BHK,N/A,1940,4,3,116
Super built-up  Area,18-Dec,"North Shahjahanpur, Dhaka",3 BHK,N/A,1590,3,2,105
Super built-up  Area,18-Oct,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",2 BHK,N/A,1035,2,2,52.79
Super built-up  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",2 BHK,N/A,1075,2,2,53
Plot  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 Bedroom,N/A,900,2,0,55
Super built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",3 BHK,N/A,1260,2,1,62
Plot  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",6 Bedroom,N/A,1200,5,0,260
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",3 BHK,N/A,1702,3,2,107
Super built-up  Area,Ready To Move,"Block D, Banasree, Dhaka",3 BHK,N/A,1080,2,2,65
Built-up  Area,Ready To Move,"Cantonment, Dhaka",2 BHK,N/A,1189,2,1,45
Super built-up  Area,Ready To Move,"South Chalabon, Dakshin Khan, Dhaka",2 BHK,N/A,1035,2,1,39
Super built-up  Area,18-Aug,"Nawabgonj, Lalbagh, Dhaka",2 BHK,N/A,1200,2,1,36
Plot  Area,Ready To Move,"Dakshin Khan, Dhaka",8 Bedroom,N/A,4482,6,2,852
Plot  Area,Ready To Move,"Dakshin Khan, Dhaka",3 Bedroom,N/A,1200,3,0,200
Super built-up  Area,20-Oct,"Mirpur, Dhaka",3 BHK,N/A,1300,3,1,69
Super built-up  Area,19-Apr,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",2 BHK,N/A,1330,2,1,93.65
Super built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",3 BHK,N/A,1210,2,1,65
Built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",3 BHK,N/A,1350,2,2,54.2
Super built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",3 BHK,N/A,1900,2,2,65
Super built-up  Area,Ready To Move,"2nd Colony, Mirpur, Dhaka",3 BHK,N/A,1935,4,2,125
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,N/A,1410,3,3,90
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,1469,2,2,99.14
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,986,2,1,30
Super built-up  Area,Ready To Move,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",3 BHK,N/A,1460,2,2,87
Super built-up  Area,19-Jan,"2nd Colony, Mirpur, Dhaka",3 BHK,N/A,1260,2,2,85.05
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1345,2,2,39.5
Super built-up  Area,Ready To Move,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",2 BHK,N/A,980,2,1,57
Built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,1164,2,2,75
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,929,1,2,51
Built-up  Area,Ready To Move,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1065,2,1,70
Super built-up  Area,20-Jun,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",2 BHK,N/A,1150 - 1194,2,0,56.725
Super built-up  Area,Ready To Move,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",3 BHK,N/A,3000,3,1,265
Super built-up  Area,18-Apr,"Middle Paikpara, Mirpur, Dhaka",2 BHK,N/A,1020,2,1,30.27
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1362,3,1,62.63
Super built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",1 BHK,N/A,672,1,1,36.85
Super built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",3 BHK,N/A,1746,3,3,115
Built-up  Area,18-Dec,"Nadda, Dhaka",2 BHK,N/A,1025,2,1,29.6
Super built-up  Area,Ready To Move,"Rayer Bazaar, Hazaribag, Dhaka",2 BHK,N/A,1532,2,1,65
Super built-up  Area,Ready To Move,"Kalachandpur, Dhaka",3 BHK,N/A,1200,2,2,120
Super built-up  Area,Ready To Move,"Faydabad, East Azampur, Dakshin Khan, Dhaka",2 BHK,N/A,1250,2,2,65
Super built-up  Area,Ready To Move,"Kalachandpur, Dhaka",2 BHK,N/A,1188,2,1,39
Built-up  Area,19-Oct,"Rayer Bazaar, Hazaribag, Dhaka",4 Bedroom,N/A,3565,4,0,218
Super built-up  Area,19-Jan,"Rayer Bazaar, Hazaribag, Dhaka",2 BHK,N/A,1170,2,2,85
Super built-up  Area,Ready To Move,"Rayer Bazaar, Hazaribag, Dhaka",3 BHK,N/A,1800,3,2,150
Plot  Area,Ready To Move,"Kalachandpur, Dhaka",2 Bedroom,N/A,1000,2,1,35
Plot  Area,Ready To Move,"Nadda, Dhaka",3 Bedroom,N/A,2600,3,1,375
Plot  Area,Ready To Move,"Purana Paltan, Motijheel, Dhaka",5 Bedroom,N/A,1200,4,3,240
Super built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",4 BHK,N/A,2507,4,2,155
Super built-up  Area,Ready To Move,"Matikata, Cantonment, Dhaka",2 BHK,N/A,1061,2,1,34
Super built-up  Area,Ready To Move,"Matikata, Cantonment, Dhaka",2 BHK,N/A,1290,2,2,69
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1200,2,1,42.6
Super built-up  Area,18-May,"Block D, Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",2 BHK,N/A,1120,2,2,39.29
Super built-up  Area,Ready To Move,"East Goran, Goran, Khilgaon, Dhaka",1 BHK,N/A,418,1,1,12
Super built-up  Area,Ready To Move,"East Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1333,3,1,50
Super built-up  Area,Ready To Move,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1691,3,2,119
Super built-up  Area,19-Dec,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",1 BHK,N/A,684 - 810,1,0,34.355
Super built-up  Area,Ready To Move,"Khilbari Tek, Badda, Dhaka",3 BHK,N/A,1700,3,3,250
Super built-up  Area,19-May,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,2030,4,1,125
Super built-up  Area,18-Mar,"Middle Badda, Badda, Dhaka",2 BHK,N/A,1012,2,1,70
Carpet  Area,Ready To Move,"Section 1, Mirpur, Dhaka",3 BHK,N/A,1245,2,1,60
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1765,3,2,118
Super built-up  Area,Ready To Move,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",2 BHK,N/A,1110,2,2,36.25
Built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",2 BHK,N/A,967,2,1,47.8
Super built-up  Area,Ready To Move,"Ashkona, Dakshin Khan, Dhaka",2 BHK,N/A,1044,2,2,36
Super built-up  Area,Ready To Move,"Khilgaon, Dhaka",3 BHK,N/A,1518,3,3,80
Super built-up  Area,Ready To Move,"2nd Colony, Mirpur, Dhaka",3 BHK,N/A,1300,2,2,57
Super built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1798,3,3,73
Carpet  Area,Ready To Move,"Fakirapool, Motijheel, Dhaka",2 BHK,N/A,866.28,2,0,36.38
Super built-up  Area,18-Feb,"Block C, Section 6, Mirpur, Dhaka",4 BHK,N/A,3410,5,3,253
Super built-up  Area,Ready To Move,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",2 BHK,N/A,1179,2,2,56
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",5 BHK,N/A,3600,5,,510
Super built-up  Area,Ready To Move,"Block D, Banasree, Dhaka",2 BHK,N/A,1125,2,1,48
Super built-up  Area,Ready To Move,"Block B, Mansurabad Housing Society, Adabor, Dhaka",3 BHK,N/A,2098,3,1,210
Super built-up  Area,Ready To Move,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",3 BHK,N/A,2400,3,1,270
Built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",3 BHK,N/A,1976,3,2,92
Built-up  Area,Ready To Move,"Section 10, Mirpur, Dhaka",2 BHK,N/A,1190,2,2,61.8
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1800,3,3,192
Super built-up  Area,19-Sep,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1761,3,1,84.52
Super built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",3 BHK,N/A,1700,3,3,120
Built-up  Area,Ready To Move,"Bagan Bari, Cantonment, Dhaka",4 Bedroom,N/A,900,4,1,70
Super built-up  Area,18-Apr,"Bagan Bari, Cantonment, Dhaka",2 BHK,N/A,1128,2,1,64.8
Super built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",3 BHK,N/A,2000,3,2,85
Built-up  Area,18-Dec,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,N/A,1220,2,1,35.25
Super built-up  Area,19-Jan,"Block C, Eastern Housing, Pallabi, Mirpur, Dhaka",1 BHK,N/A,509,1,1,20
Super built-up  Area,Ready To Move,"Tikatuli, Sutrapur, Dhaka",3 BHK,N/A,1852,4,2,122
Super built-up  Area,20-Dec,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",2 BHK,N/A,1045,2,1,40.65
